latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,hysteresis,joule
-0.21637952,-0.9044083,3.7987652,0.37070078,1.8796041,2.8167262,0.7227653,1.6360903,-0.68903655,1.2495188,-1.371526,-0.6893596,2.2105308,-0.12150008,0.50884575,1.3130242,0.76849383,-2.9622016,4.2408624,-1.9688374,-1.2689961,-1.0447909
1.3525263,-1.9619375,1.061631,0.3911617,0.0964301,1.7987795,-0.029658984,0.3712433,1.6065246,-0.32297105,-3.620931,0.77099305,3.4250638,-0.25756773,0.03755585,0.49334115,0.21456589,-3.5031996,1.5757536,-1.187714,1.761839,1.7489016
-0.07849183,-0.92629635,1.8400958,0.3408757,1.6110104,0.73828477,1.3324143,0.5149544,0.32658312,1.4753276,-2.8135424,0.20864241,3.028375,0.42745498,1.4564493,0.9221084,1.3442012,-2.2465525,4.159338,-1.536331,0.35712826,0.19519518
0.31716153,0.30691558,2.2595413,0.139112,2.0559049,1.6020461,-0.16406105,0.79611397,0.5985516,-0.5314347,-2.642266,0.3363556,3.1479356,-0.12755635,-0.082508415,0.9311969,0.41077334,-2.1534393,2.8803995,-1.6697769,1.214447,0.9832979
1.4490796,-2.5670846,3.6215515,0.9232035,0.7400057,2.171635,-0.03874256,2.593912,-0.13673206,2.000468,-1.744471,-1.4690388,3.4117932,0.37042606,0.37596595,-1.4661496,1.2005541,-2.2910187,3.0840302,-0.7211921,-1.4047552,-1.1050484
2.3977184,-1.598666,2.8020434,0.14699814,0.6244071,0.80670196,-0.78989786,1.6415037,1.8997469,0.0021888614,-4.818915,-0.8962777,1.6172211,-0.6725882,0.0587681,-0.6180197,0.6324301,-2.9506712,2.614798,-1.3313398,0.06756284,0.59446174
0.7276966,-2.682449,1.4578351,0.046907723,0.5015337,3.9198546,1.6656388,1.1857275,0.6083109,0.53517765,-1.683498,-0.32882687,3.920238,-0.9794175,0.10121419,1.6383061,1.704717,-2.0005155,1.1006867,-1.6274136,-0.26651114,-0.6303385
-0.07823879,-1.2678199,2.0767295,0.55903494,0.93437433,1.5692576,-0.07152994,0.37585777,0.19733185,0.97981787,-2.4549348,0.27557155,1.5499403,0.6389918,0.6224343,1.1549025,0.16387293,-3.6687734,4.0954585,-1.7982128,-0.96887493,-0.78135824
0.6645747,-2.2787457,1.9953381,-0.13997272,0.77792263,2.6614144,1.3691306,1.1549538,1.1340554,0.10346834,-1.747386,-0.10235144,2.7867126,-0.18682009,-0.11139546,2.2099588,2.1982672,-2.3148272,1.3170414,-0.94134456,-0.3577107,-0.66824543
1.0121994,-1.8023676,2.9835656,1.1469744,0.64173096,0.7073846,0.881559,2.7387712,0.91342676,1.6643596,-3.1877074,-1.658357,2.2535725,-0.15852639,1.552115,-0.5492306,1.6612551,-2.1140387,3.7693808,-1.0096016,-0.51383173,-0.21480478
-0.91820204,-1.2819166,3.2306843,0.39688468,1.2160357,3.1981525,1.6520792,1.8978355,0.66426617,0.801607,-0.9244034,-0.4945046,3.1005702,-0.9707964,0.72143203,1.3087595,0.52871335,-2.266146,3.6165586,-1.0220068,-0.19484401,-0.37382928
-0.43931898,-0.63439924,3.1130111,0.24951528,1.0092561,1.9803488,0.20648307,3.0100272,1.4099466,-0.17770192,-2.291317,-1.2127883,3.6390429,1.0151558,0.3183154,0.6036016,0.8683121,-2.178163,3.6278944,0.21592206,2.0161505,1.8986391
1.2489717,-1.162459,4.531263,0.55683494,0.42322123,2.1263087,-0.1295022,3.2128868,0.25006106,0.55822384,-1.9512764,-1.1998038,2.5717647,-0.11549375,0.26551127,-0.48720583,0.45972472,-2.5443895,3.1373365,-0.21564454,-0.9182892,-0.72169834
0.012161277,-0.721101,3.4848194,-0.37644225,1.0551374,1.5971879,-0.12488119,2.4665253,2.067904,-0.05523316,-3.4773526,-1.5548402,2.0614147,0.3480801,0.39170003,0.49455065,0.7759681,-2.1549873,4.5075192,-0.42387405,0.9196845,1.166172
-0.62148476,-0.80490476,2.173266,-0.6133329,1.7470969,2.3173895,0.06950149,0.36943948,0.32819596,0.52986556,-2.1491578,0.2853787,3.201802,-0.2990676,-0.7081978,-0.14975303,0.47664845,-1.4590089,2.8794918,-1.8091254,0.3530667,-0.15453309
0.13531493,-2.6129112,2.579692,0.23545933,0.4742218,1.5260602,0.09731694,1.3660288,0.7639054,1.5004292,-2.118421,-0.44326568,1.7826644,-0.4024466,-0.43162388,-1.2575293,0.9476804,-2.351016,2.6236606,-1.142221,-1.1604197,-1.0500406
-0.63780594,-1.2353145,1.5962843,-0.93794525,0.96891326,2.5535488,0.5326645,1.5841218,0.45638683,0.86189365,-2.1777105,-0.12853248,3.6912827,0.7144174,-0.3188244,0.8152144,2.5980394,-1.0677453,2.8697672,-2.256865,0.8841681,0.31752884
0.14596923,-1.9988576,0.5842317,0.027121022,-0.28660542,2.8180308,0.5067865,1.0164902,0.6682656,1.0512542,-1.9824501,-0.7374426,3.683194,0.71455866,1.0019473,0.40310293,0.3334142,-2.2257617,2.6752698,-0.94730055,2.12419,1.9536031
0.82083476,-2.2844467,2.7420313,-0.3531235,0.059197243,3.4833145,0.39161608,1.3862935,-0.7567569,0.9394871,-2.4561613,0.7028849,2.4475498,-0.96425515,-0.74086237,0.56699955,1.6013838,-2.6754417,2.295241,-3.4416783,-1.2855964,-1.0709633
3.6459486,-1.2952411,3.594485,0.45548883,2.561081,3.1907637,-0.94675046,1.0932014,0.28266388,-0.57455534,-3.8125896,-0.4180757,3.1631217,-0.93177265,-0.6301006,1.7437676,1.2396855,-4.1473336,1.6963115,-3.0260391,-1.2352854,-1.046595
1.832783,-2.287977,2.8563306,0.94580454,0.98306197,0.38324684,0.51376843,1.9581447,1.3093559,1.1513486,-3.803594,-1.1500459,2.7504897,0.055967353,0.692142,-0.791976,1.3525554,-3.1151834,2.514055,-0.26874796,-0.33298877,-0.41706237
0.45311126,-1.4992929,0.94793856,0.42730567,-0.5295283,2.8812547,1.2607424,1.7241358,-0.05652343,0.603948,-1.6497843,-0.06438123,3.3999774,-0.18772724,1.148646,1.5231938,1.099535,-2.0268507,2.0988488,-1.8329217,0.7398583,0.6105136
0.7635985,-0.735019,1.8686206,0.32384372,0.17431039,1.8217522,-0.6977315,1.3058118,-0.044139653,0.41777736,-3.1794877,-1.0508616,2.109912,0.06490753,0.9496963,-0.6488311,-1.152403,-2.9443102,3.5419257,-1.3852581,-0.51477134,-0.006374737
0.37200814,-1.3134506,1.7132385,-0.81930345,0.87770194,2.5572941,-0.5430436,0.8682544,1.8014964,-0.17064682,-2.315923,-0.64994824,2.289684,1.1962202,-0.5265035,1.7401905,1.5649147,-2.32651,2.5438602,-1.1152878,1.1717238,0.69529134
0.4085624,-2.8916156,4.093145,0.17422315,0.7787962,2.0121622,2.010314,2.4855797,1.9869401,1.4657633,-2.9750237,-2.004215,2.398615,-0.92403716,0.86555845,0.14009221,1.4598212,-2.8066092,3.3984392,0.47975865,-0.76494664,-0.83134675
1.4541507,-1.9167933,1.3306005,1.080533,0.14917317,2.6122997,0.25952822,0.15360409,0.5755202,0.11361111,-3.3155694,0.3254775,3.1481297,-0.92176086,0.9202971,0.58427995,-1.2194487,-4.155034,2.1371043,-1.4752467,0.16958912,1.0297923
-0.16583008,-2.9972453,2.7378945,0.1613311,1.3136919,2.479054,0.9393805,2.1988556,1.6549305,1.8897651,-2.2424645,-2.315873,3.5384529,1.5572627,0.5902818,0.5022595,2.199258,-2.521195,3.9363084,0.09178472,-0.15438956,-0.5838522
-0.10986776,-1.7730994,2.4811456,-0.5938729,0.7260159,1.9748313,0.965218,1.5467062,-0.29687843,1.4485009,-1.6744505,-0.7589592,2.1860337,0.39426935,0.13993195,0.30711824,1.8974757,-1.7718374,2.6281507,-1.2548989,-0.96517307,-0.9933982
0.76607794,-2.139236,1.3213634,0.03519445,-0.6802067,2.2715874,0.4373685,1.5029641,1.6928228,0.41702795,-2.301329,0.29228294,4.534397,0.014999576,0.24622121,-0.3172486,0.7303055,-1.6829473,2.0273535,-0.4607915,2.3643847,2.2618146
0.82487094,-3.6310875,0.8441289,-0.3898824,0.51139563,3.8875992,2.1810343,0.19581828,0.9159497,1.1800531,-3.5504014,-0.16620128,4.4962664,-1.1035702,0.52501214,1.2871323,1.9179839,-2.4850252,1.7173779,-2.1139207,0.18273538,-0.2879676
1.6455407,-1.7450364,3.5807576,0.6675111,0.40318382,1.6126448,-0.5611108,2.6999824,0.8707049,0.9084827,-2.4467573,-1.5079744,2.8280535,0.46747628,0.35159564,-1.1093205,0.5508655,-2.3291628,3.0480845,-0.06354855,-0.4333999,-0.5574838
0.33360016,-0.33099014,3.0546172,-0.32976598,0.30387056,3.4463685,-0.01574,2.315842,0.84669036,-1.1454204,-2.3431914,-0.67082155,2.8206453,-0.5976747,0.1266016,1.2870573,-0.6318413,-2.9977095,2.820303,-0.8644974,0.8616444,1.1960135
0.14330466,-2.0502248,2.0987794,0.7957715,0.1313491,1.7360948,-0.17407748,1.8619025,0.46828243,1.6451917,-1.9057403,-1.363827,2.0869262,1.2782708,0.90244675,-0.23154682,0.6531299,-2.842318,3.9035473,-0.88231134,-0.11387062,-0.32622296
2.7809632,-2.231109,5.0724635,0.57425904,1.4455084,3.131133,-2.002033,2.962956,1.4698665,-0.036319077,-3.5239007,-0.8849298,4.040562,-1.2245567,-1.6578759,-2.0241997,0.22612894,-2.9222012,2.4475176,-1.210873,-1.2718861,-1.0826949
1.8574119,-2.5082364,3.3911881,1.3562802,0.4024982,1.3087415,-1.1754706,1.9022027,1.2755065,1.4042443,-2.3223898,-0.37988335,2.852376,0.81722903,-0.03149742,-1.2123573,0.6999323,-2.904906,3.652787,-0.7943128,-0.6755808,-0.76386493
-0.8451524,-1.6512831,1.6660453,-0.9448954,1.5035559,2.4978528,1.1937989,0.4967287,0.8346714,1.2267641,-2.5150201,-0.07514255,3.926045,0.71236,0.25873232,1.1251466,1.888379,-1.7556689,3.7354891,-1.5748459,1.1398823,0.58671117
0.60505736,-3.094476,2.1897776,1.1825242,1.9961756,1.9686573,0.929802,-0.06279118,1.5028718,1.2094132,-1.8377595,0.66171294,3.6652718,-0.41016683,-0.33979547,0.66317654,1.7215887,-2.871355,2.0626793,-1.1686003,-1.2943352,-1.091684
-0.38648435,-1.3489176,1.3917885,0.34885767,0.40800297,2.2900648,1.7280762,1.238641,0.31041226,0.67492115,-1.4644612,0.21520315,3.9448657,0.0049727857,1.0235296,1.2071972,0.89302015,-1.826448,2.4121625,-0.67696613,1.5466572,1.2592884
1.0983539,-2.7259457,2.3227623,1.3861113,1.3439797,2.6422958,1.0985904,0.19174922,1.1895121,0.4496316,-2.076311,1.1964792,4.389639,-1.3962314,-0.27621222,0.5804049,0.8631937,-2.9933784,1.172942,-1.1120754,-0.55763674,-0.80106825
-0.44952425,-1.7751102,2.4609904,-0.63877034,0.6288041,1.9665625,-0.8546853,2.2234578,1.6965659,0.6783802,-3.113328,-1.1881301,3.3186538,1.5992621,-0.6088734,-0.938637,0.9980776,-2.4960487,3.7081063,-0.3295538,1.5993199,1.1511847
0.3784631,-1.7968608,1.9929906,-0.15420148,1.6708329,2.6205423,-1.5327876,-0.24555212,1.2976937,0.58492273,-2.4917796,-0.3489914,2.0153272,0.6848314,-0.9578093,0.32498354,0.11993175,-3.1092825,3.2403553,-1.8454884,0.0641369,-0.379853
0.8632466,-1.7936695,2.8384688,-0.07112537,1.3881894,1.8370211,0.34303766,2.324971,0.18514001,1.6104921,-1.954702,-1.7268194,2.7630937,1.5008354,0.38168818,0.57717633,2.826328,-1.7623614,3.035648,-1.0956851,-0.991342,-1.0102535
0.46131822,-2.0921428,2.1305363,-0.35577077,1.7892486,3.6379886,1.9070902,0.45425835,0.24328008,0.7386672,-2.2670574,-0.597314,2.808463,-1.0849762,0.5203151,2.5981045,1.7042898,-2.606692,2.400187,-2.320156,-0.92883694,-0.9630867
1.2876263,-1.0596294,2.774716,-0.88031006,1.5627239,2.8971074,1.1352373,1.6314032,0.620268,-0.5532017,-2.930045,-1.803796,1.606341,-0.8424424,0.3632785,2.5482903,1.3276421,-3.0813746,1.7027998,-1.2688227,-0.55699784,-0.549549
0.7761512,-2.253996,1.1604416,0.092318624,-0.46058562,3.6115415,0.6269976,1.0130107,0.6649269,0.09794351,-3.984943,1.5149332,3.8900378,-1.2561351,0.016314112,1.5332983,1.3733853,-3.1811569,2.430147,-3.9312758,0.7126617,0.76744616
2.868543,-3.0083673,2.1196547,0.23638074,1.0208906,1.3301471,-0.55766934,1.4221805,1.3301955,1.2204362,-4.469345,-0.23188639,4.620793,-0.0071771964,-0.44053638,-1.6986041,2.1114912,-2.7571816,1.8108631,-1.9196804,-0.5681123,-0.82381666
-0.018135779,-0.62315196,2.7426565,-0.49281847,2.059143,2.5749393,1.6175448,1.6989139,0.8007529,-0.29670286,-2.4984624,-0.70636594,2.540429,-1.4423568,0.2837963,2.1801648,1.6693935,-2.1435874,2.4544957,-1.9234619,-0.23739429,-0.30846897
0.17136088,-1.3449581,1.6513166,0.2499433,0.05411189,2.9122374,1.0820026,1.4334776,0.6816833,-0.48175564,-2.15282,-0.20238441,1.8160101,-0.93970865,0.72487706,2.329471,0.1848385,-3.4661415,1.975425,-1.4914937,0.042012166,0.8769119
