latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,hysteresis,joule
-0.23502618,0.13419831,-0.6670493,-3.047927,-0.3153791,2.5727167,-0.50827837,0.01014586,-0.14793077,1.2408367,-2.3422928,0.743732,0.08429106,2.5210536,1.369836,-2.0708866,-0.956189,2.250858,0.8884266,-1.0622029,-0.9437901,-0.9103336
-0.4355527,1.1668929,-0.30282176,-2.2407491,0.51086664,3.9854403,-0.35272473,0.92483443,-0.37461928,1.0453236,-1.548433,1.4996825,-0.27375826,2.4840305,1.8253789,-0.86920327,1.0206306,3.8394234,-0.42611438,-0.43432567,-1.0707242,-0.9009168
0.86380595,1.0083125,-1.2949677,-2.5989943,0.73609996,3.5758786,-2.5202081,-0.4822912,-0.25941288,1.1064558,-2.4870765,2.0202477,-1.0746217,1.1584932,-0.38438228,-2.3347278,-0.079169795,3.7448568,-0.63293904,-0.13232893,-0.58339953,-0.8525594
-1.8442417,0.7886314,-0.85320336,-1.8322349,-0.35895932,3.296726,-1.7072268,0.31942922,-1.0386497,0.9684893,-2.2489922,0.8235461,-1.4659561,2.1166813,1.4333866,-1.8525473,-1.0721335,2.1159575,1.2241949,-0.14579014,-0.17631163,0.6680398
-0.4091103,-0.11892643,1.7990297,-1.681625,-0.6540888,2.964618,-1.8751775,1.3478214,0.05613722,0.78595084,-1.2363275,1.4576228,-1.9666786,2.2515693,1.2947948,-1.9518489,-0.88967836,3.121974,-0.25996837,-0.18601245,1.2781777,0.91125447
-1.3276631,-0.24270743,-1.3809024,-2.993242,-0.5286336,3.1710784,-0.8903419,0.19024526,0.13456792,1.1967127,-2.652437,-0.7091425,-2.6414945,3.3874435,0.8015857,-3.1329567,-0.74399704,2.9026344,1.1353589,0.41083777,1.5222383,1.4185959
-0.13235539,-0.120915614,-0.69570774,-2.5694315,-0.31823468,2.5073023,-0.61462224,0.9002437,0.5043287,0.5715593,-2.9832308,-0.41489983,-1.9687697,2.1285944,0.09682112,-1.5462574,-0.60090643,2.516232,2.0536125,-0.23987457,-0.3452673,-0.590041
-0.94307417,0.46634665,-0.96551996,-3.6213982,-0.31082305,3.5883906,0.46076572,0.11549583,0.94840956,0.7416687,-2.0067408,-0.43908596,-3.5434365,2.1395423,0.9988623,-0.96075416,0.17280562,3.8032336,1.0501418,0.37618646,-0.7092558,-0.7605543
-1.2441391,1.1294047,-0.46546048,-2.4667609,0.66005665,4.4852157,-0.36964148,0.82793295,-0.48887476,1.5617557,-1.6401957,1.1992207,-2.2243633,1.7616543,1.4589311,-0.4405096,-0.3779188,3.581112,0.7272922,-0.31167713,-0.8002162,-0.7026832
0.118228465,0.6066277,0.16357931,-1.9587419,1.4234754,4.111086,-0.97311425,1.0633186,-0.041823402,2.4986033,-1.7545278,1.6984049,-1.0156057,2.3575099,-0.10621877,-1.8463997,-0.8238625,3.96632,-0.35469544,-0.62620765,-0.77524424,-0.8757739
-0.46374023,-0.08584865,-0.9077076,-1.9220089,-0.25828025,3.032215,-1.0604779,0.6729809,0.77632177,0.9683084,-2.9558022,-0.93808365,-3.3861506,2.284776,0.1804348,-2.0342686,0.23892666,3.6652462,1.3444192,0.90165246,1.5963408,1.4774312
0.5567093,-0.94892806,-1.3478912,-3.2925289,0.014311923,4.05939,-2.0382822,0.0041848943,-1.4564681,1.9568101,-2.0747833,1.5746696,-1.4170145,1.4948533,2.0970135,-2.8528218,-1.0989375,2.7652369,-0.74245286,-1.5526134,-0.34200454,-0.48709697
0.5238034,-0.70320135,0.002786234,-3.2230697,-0.4386519,2.6290617,-0.5025838,0.5078866,-0.36599663,0.8951299,-1.3328332,0.92839247,-0.37385204,2.2055051,2.038308,-1.983176,-0.47457352,2.3076422,-0.24230541,-1.3501991,-0.8375569,-0.9011363
0.3233995,-0.22712871,0.22531074,-2.8023524,-0.23038979,2.3685224,-0.47950298,0.018057825,0.21687305,0.8356176,-0.9772816,1.1667901,-0.3489716,2.0546038,0.9846449,-2.1207347,-0.41149655,2.3298905,-0.7887205,-0.7392275,-0.48869717,-0.7594713
0.44928098,0.72810584,0.31962362,-1.9772534,-1.4508861,3.5443373,-2.2749777,-0.37671456,0.9634887,-0.2050311,-3.363468,1.8764488,-1.7682449,0.6686279,0.6943246,-1.5106878,0.16055855,3.5254536,-0.004754265,0.0015558563,0.23186006,-0.30147204
0.37267444,-0.23100391,-0.26205635,-2.7714565,-0.86087453,1.8457396,-1.1616001,0.1985461,0.62411463,0.06595755,-1.8206577,-0.113418534,-1.6220367,2.4437134,0.89027905,-2.3345664,0.50115573,2.6716692,0.08791099,0.25110468,1.108822,0.5987381
-0.78949934,-0.40751117,0.3284545,-2.0128071,-0.7957481,4.4807467,-0.4297697,-0.026233112,1.3383673,1.6953995,-2.992346,0.8128829,-3.2517042,1.4747158,0.58574116,-1.961078,-1.5250686,3.6530793,0.40438345,-0.29702193,0.7955766,0.25436294
-0.14131784,-0.1910288,1.7847171,-1.3852829,-1.4088641,3.2195299,-2.3510454,0.59966415,0.5893148,1.2446545,-2.7404435,1.50027,-1.1991901,2.681541,1.5827876,-2.8939395,-0.8636935,3.6078925,-0.2507528,-0.30004218,2.44239,2.4432166
0.7271011,0.042568356,-0.75176233,-1.7273316,0.2768972,3.8503268,-2.6256387,0.6998571,-1.592157,1.3987828,-1.5873805,1.9561386,-1.3753741,1.0950781,2.3264139,-1.628637,0.6203694,3.5436385,-1.1872026,-0.60707504,-0.11664339,0.15080999
0.08601357,0.036103442,0.2994105,-0.82095075,-0.90837485,3.0976272,-2.096978,0.74843466,0.97422683,0.77820843,-3.436585,0.5088498,-2.2579412,1.9577117,0.47412887,-2.1156108,0.68988556,4.0132537,0.37624493,0.648443,2.180032,2.0477366
1.0584782,-0.3886463,-1.3241987,-3.0439403,1.410699,3.8529816,-0.61868924,0.6266934,-0.3839067,2.481326,-2.0283005,1.4445345,0.09592124,2.6993802,0.15843491,-2.6864507,-0.3166947,3.3518322,-0.99641836,-1.3276588,-1.2342614,-1.0725266
-0.60584444,-0.32333252,0.46246535,-1.1089305,-0.9043008,3.2910383,-0.5486837,0.74163246,0.83092177,0.9126181,-2.1077545,0.14815365,-2.851526,1.5538231,1.5218039,-1.049953,0.3229065,3.3627617,0.23404066,0.26387396,0.76778656,0.68688893
