latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,hysteresis,joule
0.066849746,-0.010647614,-0.13709107,-0.49733642,-1.7028188,-0.97305554,0.30827528,0.72535837,-1.650818,0.46287397,0.88426745,0.34309405,2.0541327,-0.908182,-0.07766463,-1.1196566,0.8970032,-0.056758028,-1.2804459,-2.7578328,-1.1139534,-0.931599
0.10746906,-1.5182532,-0.35073936,-1.9340923,-1.6453084,-1.1989859,0.8705683,-1.2960585,-0.474586,-0.4371347,1.6701056,1.3271049,4.241941,-1.0972015,-0.09423159,-1.451733,-0.41445816,-0.427093,1.0182632,-3.131109,-0.09783765,0.196235
0.26532838,-0.28483087,-0.20946056,-1.2368001,-1.443905,0.03649596,-0.63000506,0.30468106,0.561092,-0.28991175,1.6315153,1.2340868,1.2990177,-2.8812938,0.72322357,-0.28065714,-0.44790316,-0.361804,-0.626761,-2.9949167,0.5264622,0.061679736
0.54411244,-1.1859527,-1.2955532,-1.8530936,-1.8179787,-0.7186281,0.9791004,0.42574877,0.55100745,-1.3764417,-0.03289055,0.36844647,3.8735952,-2.021074,0.41914845,-1.3327833,0.7413143,-2.2145221,-0.6672542,-2.911862,1.652693,2.3870668
-0.37104464,-0.2414585,-1.3918874,-0.9005132,-1.4185984,-0.28816324,-0.28751922,0.9015943,-1.1784867,-1.2873862,1.4795675,1.0545576,2.0439298,-2.2152307,0.463622,-1.2708217,-1.29631,-1.6313001,-0.5863803,-2.7285829,-0.7591927,-0.3221657
1.0026344,-0.07266162,-0.10253059,-0.8970635,-1.7070843,-0.6028365,-1.4598761,1.0675017,0.3604982,-0.6193995,1.2629751,0.88687044,1.7213099,-4.6114306,2.1087952,-0.3677252,-0.9922609,-0.28384447,-1.1568689,-4.188267,1.3975807,0.98942804
1.0397153,-2.2784646,1.4904966,-0.60883063,-1.9652162,-1.8338832,-0.6274213,-0.5952674,-1.6755856,0.7482712,1.1200486,0.5317809,6.0868187,-1.8457974,0.52222437,-2.633977,1.2366848,1.8805012,-0.28506044,-5.494188,0.6019501,0.75928843
0.30773053,-0.18924734,-0.6134248,-0.33908305,-1.1983336,-1.1546129,-0.4061476,0.8257263,-1.6306912,-0.39613214,0.7794058,0.36770308,2.5803134,-1.8737186,0.6994794,-1.2477651,-0.7243106,-0.27774376,-0.5315812,-2.9162142,-0.54653376,0.08619448
-1.0300239,-0.06548886,-1.2093508,-1.5793898,-2.7654164,0.11660751,-0.17521234,1.1970705,-1.5976902,-0.99656713,2.866753,2.0302188,1.2199793,-2.765157,-0.1259469,-1.4580699,-0.6272769,-1.8865916,-1.6789967,-3.8808224,-1.3609855,-1.1081604
-0.2072796,-0.95042753,-1.0651387,-0.98623663,-1.9555116,0.40921852,0.22239417,1.4786012,-0.5715724,-1.2532939,0.6494078,0.50880826,3.1961474,-1.9127545,-0.09818223,-2.1180863,1.257854,-1.9355556,-2.0328827,-3.2156508,-0.34370086,-0.2780445
0.8305935,-0.4853299,0.9995869,-1.018876,-2.37235,-0.74534416,-0.97785324,0.4469031,-0.12366262,0.46425077,1.877718,1.0340008,1.2596309,-3.4197266,0.8776591,-0.023940505,0.25761062,1.0031043,-1.3188847,-4.1808915,-0.5490215,-0.8401279
