latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,hysteresis,joule
2.79731,2.0498486,0.45563903,0.0,1.3256733,3.101019,3.1044233,2.6699061,0.0,1.9445823,2.5732818,2.7138832,1.8593858,0.0,0.0,3.3046687,2.7879195,3.8254251,3.6620376,1.1675103,-1.2689961,-1.0447909
3.4153292,2.434378,1.6470221,0.0,2.492093,0.56115013,1.4311718,2.6507032,0.0,1.4593341,3.2237434,0.49692398,1.5526131,0.0,0.0,2.5333114,2.2862947,3.4858265,1.4047935,4.5327992,1.761839,1.7489016
1.65946,2.583417,0.80322677,0.0,1.0433626,3.0536609,2.3437235,3.7165742,0.0,0.73563415,3.0320811,1.6558858,1.7063748,0.0,0.0,2.8916082,2.7544568,3.2213635,3.801008,3.9808218,0.35712826,0.19519518
3.4353502,2.8358464,0.46874794,0.0,1.7328026,1.6115214,2.3723867,2.9096124,0.0,0.42042932,2.1963634,1.1260061,0.8710713,0.0,0.0,2.4161377,3.8843136,3.1968298,2.6048677,2.5636773,1.214447,0.9832979
1.4029535,0.45348585,0.3861161,0.0,3.9950266,3.0108356,1.6337206,2.2793407,0.0,2.1807017,3.5315063,1.9418088,2.8776503,0.0,0.0,2.2212782,2.4580913,2.7000885,2.9165041,1.8965695,-1.4047552,-1.1050484
4.198327,2.5978403,1.1641401,0.0,3.4496512,2.3631346,1.4209763,3.1965358,0.0,1.3154444,5.3961234,1.7170842,1.0786132,0.0,0.0,0.85579735,3.1591487,3.807497,1.7829362,3.3816564,0.06756284,0.59446174
2.7832367,2.2831116,0.6979624,0.0,2.2548287,1.1276476,3.2838557,2.0062206,0.0,3.104156,0.7756402,1.3929482,2.288369,0.0,0.0,2.171855,0.76080155,2.5688114,2.0855343,3.7216015,-0.26651114,-0.6303385
2.4031425,2.423488,1.2360847,0.0,0.9030473,2.2456317,1.4151087,2.8314211,0.0,1.0671896,3.4013693,1.9351872,1.1094247,0.0,0.0,3.6340144,2.1264524,3.925858,2.402812,2.1433952,-0.96887493,-0.78135824
3.2116778,2.6545718,0.7674623,0.0,1.5096532,1.0833561,2.6839585,3.1554196,0.0,2.7620337,1.6536111,1.4057873,2.451135,0.0,0.0,2.107716,1.2097902,1.5509084,1.879923,3.0719156,-0.3577107,-0.66824543
1.7365104,1.0996363,0.15565687,0.0,2.6522565,3.8903372,2.1266756,3.9209015,0.0,2.0661535,4.5142713,1.9623897,2.3832324,0.0,0.0,1.0829777,2.9324596,3.8028126,2.925907,3.175241,-0.51383173,-0.21480478
1.628472,1.6660168,0.40361965,0.0,1.0014143,2.0777543,3.7072306,2.3687677,0.0,2.6486244,1.5114828,2.372447,2.4276671,0.0,0.0,2.2783465,2.940348,3.4921942,2.421407,1.9205055,-0.19484401,-0.37382928
1.873231,2.2342277,0.79639065,0.0,2.3123164,2.264909,1.983031,4.391143,0.0,2.4813101,2.474157,1.4046222,2.900274,0.0,0.0,1.8076017,5.17217,3.3210242,2.246329,2.0400617,2.0161505,1.8986391
2.9474132,0.59263754,0.66849613,0.0,2.9635067,2.6494036,1.6084331,2.748376,0.0,2.5247242,3.5773652,2.2199056,3.031576,0.0,0.0,1.491382,3.9654098,3.2702217,2.5162795,1.3944571,-0.9182892,-0.72169834
