latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,hysteresis,joule
1.2457765,3.351033,2.4916327,-1.4537,5.343252,-2.09653,1.3840208,0.104421474,4.06801,1.4151881,0.7094208,-1.9309977,0.21684809,-0.09593997,2.6807947,0.43804753,-2.148051,-1.2536528,1.0989628,-0.58197576,1.088742085,0.772639938
0.44751513,2.0547216,1.8918499,-0.567106,2.9539897,-1.8670852,1.6208649,0.82221067,0.07094896,1.7696011,1.7525505,-0.11942081,-0.2555728,0.8995496,3.0461633,1.2868663,-3.9283204,0.35840395,0.5654977,1.510242,-1.121203088,-1.009238166
1.692043,3.0179434,0.76783675,-0.24028413,4.537312,-3.2125218,1.8759154,1.5843956,0.9310096,0.93083125,3.2108839,0.44783032,0.62567115,0.64971197,2.907188,-0.63391995,-2.9833524,0.5202136,0.83805704,0.62530905,1.243062196,0.894586434
2.8848333,3.4684703,2.2086453,0.03590578,4.0056434,-3.0773568,2.6776195,1.1473197,0.5368063,1.260277,2.0537462,-0.43858624,-0.69412696,0.5619698,3.295186,0.78312004,-5.645825,0.23236394,-0.13425136,0.9444012,-0.540283826,-0.638041726
-0.27685684,3.3477018,2.6741579,-1.2426183,3.6774511,-0.8399078,1.3956937,0.94328004,0.97837317,1.7035252,2.0713933,0.7370983,1.6169746,1.3193322,2.528396,-1.1005595,-3.3325634,-1.0728656,0.8679959,0.8082446,-1.294781606,-1.073318981
1.4595199,4.5956435,2.8032403,-0.34903926,3.7685,-3.6907737,0.012178756,0.496161,2.0216563,2.6148925,1.848344,0.13734123,1.6052837,-0.9166521,2.7971356,-0.34955955,-2.5103512,-0.58111686,-0.36512488,-0.7058977,1.809592527,1.38836054
1.9739041,3.8997192,1.2061564,0.52137554,5.9735236,-2.3107414,1.2066972,1.8783836,1.3149452,1.4157454,3.786183,-1.0385631,0.4630996,0.7994626,1.7360781,1.1130157,-4.6410336,1.1440785,1.6663799,1.9909153,1.148602604,0.71319601
1.6298916,1.6646396,1.5846151,0.33709556,3.9271545,-2.3382232,0.72760683,0.87804985,2.3288803,2.5794601,2.4431214,-1.0963826,-0.96249014,-0.4331597,2.0488052,-0.09640624,-3.5191395,0.3317019,0.66668665,0.6999566,2.12346546,2.103803472
1.8825188,3.2887244,2.5674105,-0.158276,2.616248,-2.4325938,1.0599879,1.5647986,1.4539689,2.687922,2.3687215,0.13842551,0.7913855,0.44616646,2.194364,-0.21826032,-3.8148196,-0.45952258,-0.13090584,0.4899432,0.84149498,0.36464476
0.59566075,2.533747,1.936195,-1.4723572,3.7958043,-1.0034386,0.8945275,-0.23503542,0.893387,0.8694122,-0.0659668,-0.17673926,0.49943563,0.31823966,2.318913,-0.8031961,-2.5288155,-1.3842893,1.0068859,-0.45650297,-0.989778126,-0.929185419
1.6314511,3.452212,0.9604192,-1.3938742,3.803748,-2.413373,3.4125724,1.1565827,1.9784312,1.5986189,2.0123813,-0.67244744,1.8428618,0.66306573,3.0321624,-0.650633,-2.814082,-0.15227422,2.0256565,0.31478667,-0.673439318,-0.268095338
1.540879,3.6839423,2.039626,0.49950173,5.30487,-1.889236,3.12473,0.5473019,1.5550979,3.393302,3.811512,0.67142814,-0.26854146,0.123909526,3.404834,0.52336013,-6.425281,0.735809,2.1104848,2.1891181,0.795498954,2.408454498
1.5760049,2.3809793,1.6494666,-0.16208723,4.795975,-1.8376288,-0.22855067,0.41156465,2.4492881,1.5043293,1.8378973,-0.7820067,-0.11986983,-0.091706514,1.6354496,-0.9734222,-2.3368623,-0.5676199,0.59216887,-0.45327014,1.946525768,1.647943142
0.181174,2.9136195,2.1780627,-1.2934772,5.106581,-2.1975207,0.7355003,0.76319647,-0.74206007,2.274057,0.37930775,-0.08586704,1.1247716,-0.24287558,2.3880446,-1.8895593,-4.1617126,-1.6459974,2.0753808,0.04251984,-1.418868373,-1.105699318
1.2265108,4.4079156,2.0111806,-0.46962672,4.5691733,-2.4219465,-0.36757594,0.63505405,1.0928715,1.4969594,2.0344088,1.1328045,1.9775889,0.116575696,2.0906818,-1.2464379,-2.1340456,-0.9222006,0.22247534,-0.70069116,0.854850475,0.293358864
0.07082674,2.8983192,1.688596,-0.77508163,3.2759664,-1.958752,1.8507267,0.5796104,-0.17289637,1.1152987,1.5397121,0.56685406,0.9098159,0.33236098,2.9202442,-0.60559064,-3.0844786,-0.107640035,0.81467557,0.64369327,-1.086062052,-0.965951989
1.2375535,4.2793584,1.6610693,-1.8016844,6.1448617,-3.3911178,0.55849564,0.352599,1.9486616,1.6632688,1.522309,-0.7459443,2.711236,-0.24788767,3.3930736,-2.5612137,-2.0917308,-1.3328686,1.8093036,-1.3293173,0.92475085,0.490447806
2.1093593,2.771703,1.7638184,-0.38177097,5.0311403,-2.0454674,2.0613093,1.4207666,1.5317354,0.7112645,2.6707418,-0.5495153,-0.555486,1.2088255,2.2282114,0.8052065,-5.374713,-0.5126394,-0.032484733,1.9676363,-0.867151711,-0.829534688
0.64264524,3.004248,3.5458512,-0.29982936,3.2392259,-1.7631319,2.545047,1.1336589,0.6047699,2.3931737,0.8536444,-0.4050005,-0.6128589,0.52444845,2.5758593,-0.11149056,-4.957049,-0.9049027,0.67598325,0.70893896,-1.250587134,-1.034785972
0.7411343,2.7806377,0.95554626,-0.22246176,3.5041523,-1.9978286,1.35405,1.1348519,1.2602209,2.0743823,2.6231418,0.2810833,1.1564898,0.25122702,1.9278578,-0.6040408,-2.1702037,0.40010992,1.6779472,0.35918292,1.42853739,1.260003161
2.0584733,3.0215077,0.90840346,0.40361908,5.1471076,-1.8573289,1.9151853,0.49006727,0.78005016,1.8599199,1.7172705,0.4166692,-0.7076996,-0.2468554,1.901619,0.3356776,-4.00449,-0.006912872,2.14018,0.5501416,1.388481725,2.010890932
0.44741324,2.9394624,2.3421955,-0.5973249,2.986582,-1.2980027,1.0041739,-0.06510948,1.4793524,1.4931968,0.35886574,-0.8894495,0.2974176,-0.22941038,1.8587494,0.4507204,-2.2496843,-0.4876522,0.6673477,-0.16564709,-0.150404059,-0.472983399
1.6696651,3.4392693,1.8604388,0.40381113,4.065005,-2.274266,3.4224608,0.64506984,1.0416757,2.4101787,1.23434,-1.4065517,-0.7774444,-0.41876927,2.369763,1.7394519,-4.3932915,0.6215822,2.2150397,0.88984483,0.302466063,0.99453284
1.2677351,3.0918717,2.2732115,-1.2066044,3.735885,-3.207649,0.7081955,-0.290769,3.0350573,3.0922275,0.9879971,-0.7403831,0.6288382,-1.2482908,3.335887,0.49569434,-2.4201238,-0.97349924,0.40667433,-0.27612245,2.016683656,1.920237783
