latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,hysteresis,joule
-1.0111567,1.8657373,1.844848,-0.5682787,1.266981,1.4407507,1.1379501,-4.1119924,3.6750345,1.7759185,1.2847228,-1.5096803,-0.6861596,-0.578802,-1.0678484,-0.6276142,0.6630046,1.2687663,-0.33410254,-2.3128552,0.59291366,0.349291088
-0.6203344,1.7375263,2.36066,0.13199848,1.4156207,-0.26671064,2.0952828,-5.4507647,3.030825,1.2115555,0.679451,-1.1270566,-2.0953696,0.7334974,-1.2210723,-0.65620923,-1.9083875,1.2627786,0.12783387,-3.2669892,1.726842343,1.58397802
-1.1371102,0.70614946,1.8130232,0.9901748,-0.652642,1.6610546,1.4544762,-3.0036447,3.052198,2.0079236,0.51017046,-1.6743281,0.14731237,-1.4393681,-0.88344175,-1.2104948,-0.02240618,2.895436,0.39983127,-2.664548,-1.330943375,-1.098589801
-0.047732703,2.010295,1.3245153,0.54141754,0.17656437,0.34250665,1.3649652,-3.9788814,4.0423784,0.8524689,0.1411311,-1.5810692,-0.8369415,-0.7103177,-0.54882276,-0.276801,-0.12180684,3.1042283,2.3234756,-2.5544841,-0.510277729,0.042868148
-1.4117788,1.3681316,1.8041911,0.33754897,0.30958784,0.756546,2.2552187,-2.898828,2.5391786,3.2361999,1.3627901,-2.252334,-0.09478462,-0.85197276,0.16812292,-1.7645857,0.057263263,1.4837776,-0.4269488,-3.2970161,-1.311258512,-1.097463808
-0.2851051,0.9800478,1.0588433,1.3439972,1.1382494,0.7895162,3.5174947,-3.5660708,4.212803,2.016046,-0.12695873,-0.8959875,-0.8478363,-0.84225214,-0.4731286,-0.7319144,-1.0965977,1.2017655,0.84414667,-2.7636955,-1.366970478,-1.115468535
-0.8750705,1.3433917,1.098669,-0.2503678,2.962382,0.7762936,1.5265563,-5.3810296,2.8868263,1.895103,0.85561216,-1.827901,-0.8807561,0.68215394,-3.0676978,-0.44141945,-1.6365961,0.1801594,-0.11031276,-3.9519014,2.710303237,2.48880178
-1.8130673,0.025471613,1.6039463,1.5573021,-0.034698606,0.15836033,1.752806,-3.4548671,2.232635,2.5792997,0.4787198,-1.9756222,-0.58088297,-0.040122055,-1.0916542,-0.9917606,-1.963462,2.8848562,-0.5044699,-3.676995,-1.06920838,-1.037793934
-1.3493273,0.80132496,1.8323582,1.5941008,0.22691824,0.4088173,1.9442745,-3.281467,2.271571,2.3678467,-0.38098785,-1.4850909,-0.77324635,-0.03921409,-1.4410527,-1.7131443,-2.15794,2.3041048,0.49027762,-3.597021,-1.313751374,-1.107552783
0.31600374,0.9988766,2.050149,0.80313355,-0.73855853,1.1393017,2.0130262,-5.2443047,3.3767,1.3287836,-0.71148646,-0.44238555,-0.5803463,-1.4960058,-2.891062,-0.7328885,-1.189587,2.8971863,1.3915101,-3.8697886,-1.064605274,-0.951455567
-0.23090802,1.3873094,1.5412973,0.11626024,0.96433824,0.8372168,1.0417031,-4.456356,2.9652326,0.06581135,0.34013775,-1.4444039,-0.9847878,-0.23353294,-1.8490453,-0.2154701,-1.2229475,1.7241056,1.4395682,-2.230801,1.421093543,1.302724813
-1.3359851,1.0718551,3.1804943,1.2068549,-0.6714327,0.6383226,1.3518769,-4.8266964,3.6814203,2.6296756,0.48575917,-1.9622934,0.33870003,1.0560749,-0.51118433,-0.7788559,-0.71483225,3.8651485,1.046304,-3.8481867,-0.263446529,-0.293675528
-0.997997,1.7229335,1.5806745,-1.450957,0.8404337,1.2820457,1.6675262,-4.0665593,4.583147,3.0077667,0.8366507,-3.168716,1.4926001,-0.16048613,-1.3826666,-1.3786454,1.1714977,1.4029888,-0.11060989,-2.7815015,-0.248661518,0.06630599
-0.9746518,1.6595316,0.48493972,-1.5262629,1.8167324,0.3814044,1.2791575,-4.450841,2.9135427,2.9704602,1.0094421,-2.5998921,0.1539633,-0.36062497,-2.6523747,-1.0027716,0.14812589,0.74530566,-0.9220263,-3.9928553,0.71805975,0.59962941
-0.18388985,1.4662025,1.5126017,0.5575987,1.2263836,0.68306965,1.4430307,-3.5701354,1.9768885,0.62617505,0.55756474,-0.91522694,-1.0025194,0.047983456,-0.8854705,-0.4311841,-1.1430712,0.76922345,1.2600007,-2.4175677,0.754929106,0.267685229
-0.394602,2.3401165,2.363508,-0.706623,0.31363022,1.0722762,1.5304296,-4.2035017,3.3965259,1.9498713,1.2830769,-1.57044,-0.53933865,-0.8394196,-0.36252952,-1.0644984,0.8911517,1.3628088,0.19323756,-2.5276012,-0.242372961,-0.048573249
-1.2042073,0.817049,0.7082067,0.25515175,2.2652621,1.567773,1.6393299,-3.2473776,3.889424,1.6895626,0.37694633,-2.2533653,0.48104662,0.6712606,-1.5330642,-0.5585221,-0.6191492,0.73562056,0.4193083,-2.041633,0.958437959,0.383718174
-1.0251749,2.3136542,3.0739527,-1.0097256,1.1616994,0.588587,3.319976,-5.893497,5.243138,3.5497475,1.9205887,-3.2289257,0.799343,1.1226449,0.6202728,-1.0964878,0.70936203,1.1937575,-0.10250167,-3.439279,0.553632002,0.700725544
0.16304451,1.9305619,2.2967038,0.22476807,0.19546123,0.4412819,1.9636116,-4.8160315,1.8263814,0.69554657,0.8785932,-1.2472076,-1.343147,-0.8090562,-1.1523905,-1.0926957,-1.3386034,1.2240193,1.3173256,-3.174541,0.516253352,0.606416591
-0.23223664,2.1371272,2.2562578,-0.44281697,-0.17629284,2.2242696,1.4199725,-4.2821507,4.792289,2.1226757,0.6495693,-2.5908775,1.2667716,-1.3253543,-1.1298618,-1.2360678,1.5283039,2.6018026,1.7265323,-2.6712077,-0.55665738,-0.014077168
0.5232883,1.9584777,0.78550774,0.4948383,0.4868586,0.08471929,1.8681476,-4.2076263,3.2121482,2.0443347,-0.74933124,-0.84576035,-0.16209899,-0.6473115,-2.1258533,-0.5627725,-0.4357513,2.296456,2.2811375,-4.287213,-0.741261643,-0.504204325
