latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,hysteresis,joule
1.8503389,1.1233042,0.050358698,-0.45404693,0.8884219,1.1995226,1.0416713,0.1149739,-1.7203909,0.14078459,-1.4465964,-1.752176,-1.3494978,-0.06727782,1.2900693,-0.015514266,-1.0651693,0.072173476,-0.90343666,-1.3127041,-1.179046989,-0.935127947
1.8031106,0.8748849,-1.3443122,1.145598,0.4493398,0.9738472,3.30766,1.0242367,-3.8446383,0.44941303,-0.35651442,-1.0092273,-1.5039972,-2.474427,0.7596366,-0.13644058,-1.0873988,0.8065959,-0.7442575,-0.40249443,-1.315228335,-1.108890933
1.561807,0.7820635,-0.2519548,0.32203987,-0.33024305,0.98639464,2.2256882,1.0410868,-1.6542556,0.36131567,-1.1997682,-2.1126125,-0.6165117,-1.2722167,1.5132586,0.6248908,-1.2860689,-0.61947423,-0.2797081,-0.5268364,-0.510782134,-0.744659382
1.9896314,0.8351729,-2.132884,-0.55993515,3.9546318,4.147733,2.8464127,-1.2234608,-2.67432,-1.8244277,-3.1317976,-0.13282132,-4.0721903,-0.89754856,0.9797638,-1.7012446,-2.232572,1.2226043,-3.2496698,-1.964822,0.992968776,2.554759841
1.9088869,0.33694443,-0.5398915,0.2749234,-1.0774966,1.4817538,3.5581367,0.45185822,-0.8203672,-1.2130895,-1.4136382,-2.541227,-1.1564937,-1.2468021,1.406309,0.81049657,-0.53712815,-1.1396002,-0.40750986,-0.7540482,-0.023988002,-0.362810063
1.9641521,-0.13625689,-0.27203295,0.30172232,-0.40030035,0.9640911,2.8890033,0.8661486,-1.5659902,0.26980978,-1.4439275,-1.7512012,-0.7961415,-1.5598912,1.2688681,-0.03986945,-1.8176954,-0.46959755,-0.18109325,-0.23458076,-0.13600716,-0.288736376
1.5447791,2.0456321,-1.1453403,0.8156551,-0.9757315,1.8009249,3.5152805,1.1575667,-2.0321121,-1.3983171,-1.0494064,-3.4300432,-1.4603894,-1.6901736,2.0305665,1.626586,-0.028298058,-1.2163547,-0.6909153,-1.2635703,-1.096850518,-1.057328646
0.41398904,0.87516433,-2.5572734,1.1201326,2.9578059,3.4000678,2.7082727,-0.14736606,-3.047561,-0.4203998,-2.041199,0.9411746,-2.335489,-2.5635169,1.0674646,-0.11341745,-1.6433148,1.1932548,-2.3543108,-1.2264284,0.782398778,0.460938982
1.0648135,1.3127272,-0.8204491,0.8046506,-0.7028377,1.6681775,2.4713814,1.1119488,-1.1082517,-1.2501354,-1.7383925,-2.617783,-1.1369172,-1.4015421,1.9682934,1.0670831,-0.6898577,-1.3398609,-0.031724736,-0.9249257,0.425989021,-0.049670878
1.6795713,0.29447308,-0.13481437,0.025408681,0.53301394,1.1481888,1.552531,0.7623901,-1.7002181,0.106307626,-1.9403673,-1.4574069,-1.3040851,-0.8888905,1.3543603,-0.781675,-2.2146056,-0.20929867,-0.16165245,-0.50940675,-0.370181758,-0.011691537
1.2469658,1.125762,-1.2778089,1.1401991,0.0014033504,1.3581975,2.5357325,0.22496535,-2.1714482,-1.0516113,-0.37608975,-1.0279247,-1.4205952,-1.7832271,0.870457,0.8234608,0.45209286,0.15811032,-0.6925386,-0.8761451,-0.964433347,-1.015743068
1.4929668,0.21748948,-0.10853213,0.5380561,0.20147195,1.1848038,1.5524428,1.0113325,-1.6365032,0.194263,-2.2234628,-1.6359264,-1.0036199,-1.556089,1.6336396,0.008649543,-2.2643948,-0.5935412,0.108979315,-0.8444837,0.327535633,0.108315067
1.1419389,0.8569265,-0.40563843,-0.6154654,0.623893,1.9470493,2.0289721,-0.058176965,-0.23915224,-0.90270454,-1.7749687,-2.298788,-1.3602483,0.042694405,1.4559807,0.8490615,-0.79964465,-0.8608656,-1.2712606,-1.4104867,-0.518470447,-0.314797733
1.8392252,0.8682515,-0.86123526,0.5046989,-0.4570012,1.0386323,3.0282052,0.21585643,-2.0939918,-1.0436834,-0.24025029,-1.9660352,-1.4909,-1.463215,0.7072983,0.6415129,0.29422566,-0.101922326,-0.78397655,-0.899529,-1.2975668,-1.105184238
1.6046996,1.5470786,-1.2150553,-0.80856967,2.4693222,2.4334667,2.0304065,-0.76344323,-2.0678086,-0.98092455,-1.2815038,-1.3672512,-2.6536927,0.16814142,0.95728946,-0.26335377,-0.590229,0.66809344,-2.499325,-1.7157156,-1.056045229,-0.895029044
1.3503927,0.6224026,-0.88577294,0.40243706,-0.07993908,0.72799677,2.5844321,0.47094548,-2.012765,-0.4886888,-0.01771639,-1.4424899,-1.274775,-1.3041306,0.4205887,0.08742119,-0.14082462,0.16938797,-0.6012631,-0.26007998,-0.925058197,-0.997313809
-0.43160352,0.81003034,-1.7031771,1.11057,0.65972733,2.2084875,2.0063663,1.1396893,-1.0447079,-1.4052056,-2.1365492,-1.0752792,-1.5325358,-1.9993461,1.5898852,0.46532056,-1.4472685,-0.8384155,-0.238491,-0.5197827,2.472246329,2.401759139
2.6413093,0.09636071,-0.9372374,0.6134903,1.086126,1.3107879,2.5991795,-0.1574361,-3.449632,0.086730815,-1.0909044,-0.27611616,-2.0113912,-1.8590283,0.49698883,-0.9116196,-1.2034373,1.4092449,-1.0731175,-0.90247965,-0.744094898,-0.849900747
1.1061263,1.3203248,-0.5682963,0.01982006,-0.20147097,1.5038447,2.2854688,0.8167526,-0.76087654,-0.5377253,-1.2677828,-2.491857,-0.89307594,-0.36630487,1.8396974,0.8055618,-0.7214867,-0.9645002,-0.5181112,-0.6504353,-0.398753685,-0.648899584
0.38470668,0.59214795,-0.7261299,0.47946906,0.6710489,1.1472058,1.0219417,0.53085333,-1.1875243,-1.0519,-1.3725467,-0.88272053,-1.461869,-0.96194017,0.7873444,-0.31819066,-0.959266,-0.16829416,-0.092685305,-0.57379717,1.046491971,0.612269822
0.4083027,0.62998205,-1.1693573,-0.755707,1.516177,2.6534338,2.388316,0.40132782,-0.20468926,-1.0218854,-2.389778,-1.9320015,-1.762845,-0.2524849,1.5002956,-0.02315518,-2.0689971,-0.95799494,-1.4628305,-0.70963305,0.062365917,0.833971034
0.8231577,1.0780954,-0.52771664,0.29026306,0.25590274,2.0546694,1.4170717,0.81811756,-0.52856874,-1.042282,-2.6620502,-2.3958268,-1.3365372,-0.8348105,2.0603583,0.7638839,-1.4435532,-1.2405231,-0.23112258,-1.3531294,0.908804713,0.636722285
1.4485792,-0.7448677,-0.9375721,0.44059142,0.96333385,1.5314198,2.7017424,0.2076272,-1.8279327,0.28389847,-1.373628,-0.094744,-1.2428446,-1.9261442,0.5414665,-0.7064802,-2.0407355,0.50913906,-0.9647081,-0.24914724,0.259086873,0.511895247
1.7190849,0.11612438,-0.46883038,0.23806742,0.81837606,1.2663186,2.2623284,1.0026683,-2.3175595,1.057008,-1.6828063,-0.99187326,-1.1125195,-1.4217134,1.4108912,-0.8276977,-2.7946994,0.18428594,-0.5282824,-0.15658304,-0.945819779,-0.56467163
1.1491358,-0.36992213,-1.2063155,-0.44341096,1.6262288,2.4252143,2.8549528,-0.55301523,-0.9964664,-0.5015768,-1.5703673,-0.4635719,-1.724273,-1.0523605,0.45243335,-0.24990617,-1.4525318,0.12786072,-2.0548873,-0.7823885,0.43196201,1.092239582
0.49043992,1.7809386,-1.3419466,0.20947891,0.94064283,1.9195825,1.9440478,0.10773659,-1.3377987,-1.1133455,-0.66383624,-1.5507059,-1.5980586,-0.5251483,1.2377777,0.9688662,0.23206908,-0.07510677,-1.47138,-1.1556355,-0.812083076,-0.938654445
3.0183902,0.23126598,-0.7237117,0.3679379,-0.29606426,0.8937033,3.834864,0.39667746,-3.1470459,-0.10129291,-0.55965066,-1.9556954,-1.703331,-1.9391007,0.54041904,-0.28045213,-0.815392,0.5655209,-0.8515356,-0.61609215,-1.444174952,-1.123190465
2.0887141,0.26143885,-0.18752053,-0.095188044,-0.28077668,2.0946364,3.1101496,1.6081297,-1.1715369,0.14170477,-3.485366,-3.5156744,-1.1197399,-1.5866477,2.6984637,0.4186583,-3.420394,-1.8627818,-0.20399544,-0.93768203,-0.575614019,-0.33489683
1.1821373,0.94651705,-0.27507505,0.50573516,-0.017467123,1.6344088,1.2931685,0.84284097,-0.890424,-0.5618736,-2.385309,-2.106728,-1.0516716,-0.97504115,2.0263097,0.63358605,-1.4316273,-1.0323783,0.06032858,-1.1761452,0.495383904,0.166756326
1.9075594,0.17419788,-1.3166754,-0.2833982,2.3426723,2.9639359,2.7537973,-1.2106087,-1.9264741,-0.29959932,-1.7227448,-0.24475513,-2.088957,-1.2486502,0.5958173,0.21598329,-0.92321044,0.9125636,-2.8941593,-1.7909195,-0.219368208,-0.244862188
